datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
230423213208.823,0.120,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213208.939,0.240,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.055,0.360,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.172,0.480,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.288,0.600,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.424,0.720,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.539,0.840,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.656,0.960,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.772,1.080,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213209.889,1.200,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.022,1.320,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.140,1.440,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.255,1.560,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.372,1.680,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.489,1.800,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.622,1.920,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.739,2.040,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.856,2.160,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213210.973,2.280,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.090,2.400,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.222,2.520,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.339,2.640,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
